id1,id2,name
170,0,hay bale
171,0,white carpet
171,1,orange carpet
171,2,magenta carpet
171,3,light blue carpet
171,4,yellow carpet
171,5,lime carpet
171,6,pink carpet
171,7,gray carpet
171,8,light gray carpet
171,9,cyan carpet
171,10,purple carpet
171,11,blue carpet
171,12,brown carpet
171,13,green carpet
171,14,red carpet
171,15,black carpet
172,0,hardened clay
173,0,coal block
174,0,packed ice
175,0,sunflower
175,1,lilac
175,2,double tallgrass
175,3,large fern
175,4,rose bush
175,5,peony
179,0,red sandstone
180,0,red sandstone stairs
181,0,double red sandstone slab
182,0,red sandstone slab
183,0,spruce fence gate
184,0,birch fence gate
185,0,jungle fence gate
186,0,dark oak fence gate
187,0,acacia fence gate
188,0,spruce fence
189,0,birch fence
190,0,jungle fence
191,0,dark oak fence
192,0,acacia fence
193,0,spruce door block
194,0,birch door block
195,0,jungle door block
196,0,acacia door block
197,0,dark oak door block
198,0,end rod
199,0,chorus plant
200,0,chorus flower
201,0,purpur block
202,0,purpur pillar
203,0,purpur stairs
204,0,purpur double slab
205,0,purpur slab
206,0,end stone bricks
207,0,beetroot block
213,0,magma block
214,0,nether wart block
215,0,red nether brick
216,0,bone block
218,0,observer
219,0,white shulker box
220,0,orange shulker box
221,0,magenta shulker box
222,0,light blue shulker box
225,0,pink shulker box
226,0,gray shulker box
227,0,light gray shulker box
228,0,cyan shulker box
229,0,purple shulker box
230,0,blue shulker box
231,0,brown shulker box
232,0,green shulker box
233,0,red shulker box
234,0,black shulker box
235,0,white glazed terracotta
236,0,orange glazed terracotta
237,0,magenta glazed terracotta
238,0,light blue glazed terracotta
239,0,yellow glazed terracotta
240,0,lime glazed terracotta
241,0,pink glazed terracotta
242,0,gray glazed terracotta
243,0,light gray glazed terracotta
244,0,cyan glazed terracotta
245,0,purple glazed terracotta
246,0,blue glazed terracotta
247,0,brown glazed terracotta
248,0,green glazed terracotta
249,0,red glazed terracotta
250,0,black glazed terracotta
251,0,white concrete
252,0,white concrete powder
